"","d1.53","d1.27","d1.18","d1.25","d1.29","d1.2","d1.16","d1.33","d1.13","d1.17","d1.50","d4.40","d1.6","d1.43","d1.5","d1.21","d1.49","d1.52","d1.41","d1.4","d1.38","d1.20","d1.3","d1.8","d1.26","d1.42","d4.34","d1.10","d1.31","d1.30","d1.32","d1.19","d1.47","d1.36","d1.11","d1.37","d1.9","d4.51","d1.39","d1.35","d1.45","d1.12","d1.22"
"hsa-miR-3943 hsa-mir-3943",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"hsa-miR-3944-5p hsa-mir-3944",61,72,1,23,20,0,1,79,81,71,0,282,0,23,89,47,1,23,15,35,35,28,54,25,52,0,0,1,36,152,51,39,0,33,66,0,30,0,0,22,0,45,22
"hsa-miR-3945 hsa-mir-3945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3974 hsa-mir-3974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3976 hsa-mir-3976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3977 hsa-mir-3977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3978 hsa-mir-3978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-409-5p hsa-mir-409",0,0,0,6,0,19,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,11,0,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,7
"hsa-miR-410-5p hsa-mir-410",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"hsa-miR-411-5p hsa-mir-411",537,432,35,48,1678,1496,124,675,637,796,645,1076,404,98,374,154,1175,2600,1013,1749,88,163,599,227,63,843,599,20,321,157,217,1040,113,453,2200,831,1057,914,115,61,176,599,627
"hsa-miR-412-5p hsa-mir-412",0,0,6,8,179,145,1,37,180,8,0,92,29,21,0,0,140,0,20,35,0,37,0,54,5,31,0,0,1,0,94,0,74,18,29,0,86,37,0,27,0,0,45
"hsa-miR-422a hsa-mir-422a",11,5,7,2,5,14,5,3,7,13,0,16,13,11,4,11,5,5,5,11,6,48,7,4,8,11,11,2,24,14,4,3,0,6,7,10,5,4,8,4,1,4,16
"hsa-miR-423-5p hsa-mir-423",10512,14700,4257,15601,6177,10151,2923,17326,9132,4972,858,16376,5759,4777,11434,26909,2548,5792,10207,12606,51412,45178,6852,4909,31111,11045,6380,1089,66835,23693,5383,5470,7037,7425,6333,22560,5938,8855,8987,1952,2601,9493,27185
"hsa-miR-424-5p hsa-mir-424",5302,2243,383,152,1096,632,655,1690,1137,2766,526,1283,2410,610,1985,816,2600,4485,2884,3988,888,170,1618,934,145,1567,2070,53,1720,1101,150,1172,606,1225,3942,2054,849,7706,2444,55,993,4210,2762
"hsa-miR-425-5p hsa-mir-425",17567,22672,4977,3546,8288,6076,4292,17154,5539,10082,1688,9211,12230,4096,10699,13606,9047,10772,19561,18970,16218,3335,11817,6080,4800,17762,11635,457,31770,16050,5714,10920,6843,7421,12254,35004,7314,14439,8255,1236,7465,12756,10374
"hsa-miR-4251 hsa-mir-4251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4252 hsa-mir-4252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4253 hsa-mir-4253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4255 hsa-mir-4255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4256 hsa-mir-4256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4258 hsa-mir-4258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-4260 hsa-mir-4260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4261 hsa-mir-4261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4262 hsa-mir-4262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4264 hsa-mir-4264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
